Cohort,Window,Variable,N,PRE,POST,Delta,CI95,p_ttest,p_wilcox
Galvao,24M,Creatinina,162,0.72 ± 0.12,0.69 ± 0.12,-0.03,"[-0.04, -0.01]",1.74e-04,1.01e-04
Galvao,24M,eGFR_indexed,162,109.93 ± 12.78,111.27 ± 11.24,1.33,"[-0.07, 2.74]",0.0651,0.0705
Galvao,24M,eGFR_NI,47,136.00 ± 20.79,114.48 ± 17.95,-21.51,"[-24.61, -18.42]",8.93e-18,2.84e-14
Galvao,24M,BSA,137,2.09 ± 0.20,1.76 ± 0.18,-0.33,"[-0.34, -0.31]",1.16e-73,3.15e-24
Galvao,24M,Acido_Urico,99,5.62 ± 1.66,4.27 ± 0.97,-1.35,"[-1.62, -1.08]",2.05e-16,2.14e-16
Galvao,36M,Creatinina,101,0.74 ± 0.13,0.71 ± 0.13,-0.02,"[-0.04, -0.00]",0.0304,0.0247
Galvao,36M,eGFR_indexed,54,109.10 ± 12.88,107.77 ± 12.02,-1.33,"[-4.10, 1.44]",0.3511,0.1696
Galvao,36M,eGFR_NI,19,133.75 ± 23.60,112.89 ± 17.65,-20.86,"[-28.89, -12.83]",7.62e-05,2.10e-04
Galvao,36M,BSA,82,2.08 ± 0.18,1.77 ± 0.16,-0.31,"[-0.33, -0.28]",1.24e-39,3.94e-15
Galvao,36M,Acido_Urico,65,5.63 ± 1.16,4.43 ± 1.08,-1.20,"[-1.45, -0.95]",1.92e-13,4.43e-10
Galvao,60M,Creatinina,95,0.70 ± 0.13,0.70 ± 0.11,-0.01,"[-0.02, 0.01]",0.5952,0.5579
Galvao,60M,eGFR_indexed,95,109.22 ± 13.97,106.55 ± 12.30,-2.67,"[-4.66, -0.67]",0.0102,0.0016
Galvao,60M,eGFR_NI,37,124.81 ± 23.58,106.42 ± 17.52,-18.38,"[-23.74, -13.03]",7.47e-08,1.26e-07
Galvao,60M,BSA,134,2.09 ± 0.17,1.80 ± 0.16,-0.29,"[-0.30, -0.27]",2.97e-70,9.80e-24
Galvao,60M,Acido_Urico,53,5.48 ± 1.20,4.22 ± 1.04,-1.26,"[-1.52, -1.01]",2.69e-13,2.67e-09
Combined,3M,Creatinina,573,0.73 ± 0.23,0.66 ± 0.15,-0.06,"[-0.08, -0.05]",2.39e-15,3.26e-30
Combined,3M,eGFR_indexed,578,109.60 ± 17.13,114.54 ± 14.57,4.94,"[3.64, 6.24]",3.27e-13,1.49e-23
Combined,3M,eGFR_NI,244,134.71 ± 26.34,129.54 ± 23.19,-5.17,"[-8.10, -2.25]",6.25e-04,7.21e-10
Combined,3M,BSA,1332,2.11 ± 0.21,1.95 ± 0.19,-0.16,"[-0.16, -0.16]",0.00e+00,3.43e-219
Combined,3M,Acido_Urico,528,5.77 ± 1.42,5.08 ± 1.41,-0.69,"[-0.79, -0.59]",1.20e-35,5.07e-39
Combined,6M,Creatinina,460,0.72 ± 0.20,0.69 ± 0.15,-0.04,"[-0.05, -0.02]",4.77e-07,3.03e-12
Combined,6M,eGFR_indexed,360,109.20 ± 15.91,111.86 ± 14.75,2.66,"[1.23, 4.09]",3.08e-04,5.56e-07
Combined,6M,eGFR_NI,143,133.01 ± 22.00,120.02 ± 20.83,-12.99,"[-16.24, -9.75]",8.77e-13,2.15e-14
Combined,6M,BSA,1072,2.11 ± 0.20,1.88 ± 0.19,-0.24,"[-0.24, -0.23]",0.00e+00,1.36e-176
Combined,6M,Acido_Urico,394,5.78 ± 1.34,4.92 ± 4.97,-0.86,"[-1.33, -0.40]",3.13e-04,1.88e-49
Combined,12M,Creatinina,550,0.73 ± 0.21,0.68 ± 0.16,-0.05,"[-0.06, -0.03]",2.49e-09,1.17e-16
